;imdb;metascore;movie;votes;year
696;6.7;55;Dodgeball: A True Underdog Story;199759;-2004
1876;7.1;67;The Ides of March;199638;-2011
1030;6.9;52;The Holiday;199608;-2006
854;7.6;71;Thank You for Smoking;199286;-2005
2049;5.5;52;The Twilight Saga: Breaking Dawn - Part 2;199079;-2012
1366;7.1;56;Valkyrie;199063;-2008
2668;7.4;70;The Nice Guys;198991;-2016
2209;6.7;51;Ender's Game;198933;-2013
1526;6.2;41;Knowing;198101;-2009
2050;7.7;68;End of Watch;198052;-2012
1031;7.6;67;Stranger Than Fiction;197981;-2006
17;6.6;49;Me, Myself & Irene;197896;-2000
2817;7.6;75;John Wick: Chapter 2;197880;-2017
2210;6.9;59;Warm Bodies;197797;-2013
1201;6.9;62;Disturbia;197437;-2007
1202;6.3;68;Paranormal Activity;197122;-2007
1697;4.9;58;The Twilight Saga: Eclipse;197050;-2010
2518;6.8;41;Chappie;197004;-2015
2211;6.5;37;The Lone Ranger;196250;-2013
2669;7.4;51;The Accountant;196125;-2016
18;6.7;36;Final Destination;196121;-2000
2519;7.0;75;Spy;195927;-2015
1698;6.0;30;Grown Ups;195822;(I) (2010)
1203;5.2;35;Ghost Rider;195587;-2007
2372;6.2;52;RoboCop;194806;-2014
697;7.5;67;Garden State;194783;-2004
518;7.2;54;Old School;194684;-2003
698;6.7;38;The Chronicles of Riddick;194677;-2004
1877;4.9;45;The Twilight Saga: Breaking Dawn - Part 1;194362;-2011
1204;6.5;48;National Treasure: Book of Secrets;194206;-2007
2212;6.7;49;Escape Plan;194051;-2013
519;7.3;64;Identity;193899;-2003
19;6.6;43;The Beach;193051;(I) (2000)
1527;7.3;64;The Road;192705;(I) (2009)
1699;6.0;37;The Tourist;191966;-2010
520;6.6;38;Bad Boys II;191852;-2003
187;5.7;50;Planet of the Apes;191629;-2001
2373;6.3;42;Transcendence;191097;(I) (2014)
1367;7.0;46;John Rambo;191075;-2008
1878;6.6;70;Contagion;190836;-2011
1032;6.6;31;Silent Hill;190744;-2006
188;6.7;66;Bridget Jones's Diary;190507;-2001
699;7.2;47;The Passion of the Christ;189904;-2004
1700;7.3;63;Megamind;189772;-2010
855;7.6;72;Kiss Kiss Bang Bang;189717;-2005
20;8.1;83;Amores Perros;189401;-2000
1879;7.4;68;The Adventures of Tintin;189356;-2011
856;7.6;74;Munich;187563;-2005
1880;6.4;33;Just Go with It;187106;-2011
1368;7.1;57;Body of Lies;186805;-2008
521;5.3;42;Daredevil;186591;-2003
1528;7.8;76;The Girl with the Dragon Tattoo;186329;-2009
350;7.2;82;Chicago;186316;-2002
1881;7.3;63;The Lincoln Lawyer;185816;-2011
1369;8.1;59;Ip Man;185729;-2008
2520;7.6;82;Creed;185587;-2015
